Rank,School Rank,School,Team Name,Member1,Member2,Member3,Coach,Girl,Official,Solved,Penalty,Medal,A,B,C,D,E,F,G,H,I,J,K,L
12,7,南京航空航天大学,错误,赵乐坤,胡昊天,吕俊琪,,,True,7,1406,Gold,+(41),,,,+6(183),+2(293),+(105),+2(250),+1(24),,-1,+3(230)
,,中山市中山纪念中学,UTG,,,,,,False,7,1433,,+2(32),,,,+4(154),+(110),+5(195),+4(284),+(37),,-1,+3(261)
,,长沙理工大学,ddl前一小时没有报名差点遗憾离场,,,,,,False,7,1481,,+2(23),,,,+2(96),+8(247),+4(95),+6(295),+(28),,,+1(237)
13,8,中山大学,中山大学_没有想法,薛炜鹏,吴永聪,陈景泰,,,True,6,673,Gold,+(26),,,,+(49),+1(179),+(101),+2(242),+(16),,,-20
14,9,北京理工大学,越野,邹知秋,于瀚文,廖嘉琦,,,True,6,858,Gold,+(17),,,,+1(127),+3(236),+1(78),+3(216),+(24),,-1,
15,10,北京航空航天大学,秋花追忆,王大禹,董和军,蒋槟阳,,,True,6,889,Gold,+(15),,,,+2(119),+2(213),+2(155),+1(224),+(23),,-4,-4
16,11,南方科技大学,南方科技大学-奥斯陆,张祺宇,杨博文,姜奕豪,,,True,6,896,Gold,+(41),,,,+3(201),+2(143),+(135),+(257),+(19),,-4,-4
,,西安铁一中国际合作学校,可乐猫,,,,,,False,6,903,,+2(41),,,,+(145),+(219),+(88),+2(296),+(34),,,
17,12,厦门大学,闪光春日影,邹品聪,栾英石,陈朱迪,,,True,6,923,Gold,+(12),,,,+(74),+1(176),-2,+4(282),+(38),,+(241),
18,13,华中科技大学,邹知秋你昆明这么出题就是不想出线,俞仲遥,刘兆硕,麦骏,,,True,6,951,Gold,+1(50),,,,+4(276),+1(180),+(44),+1(241),+(20),,,
19,14,上海大学,树上的忍者,耿鹏成,松浩然,陶钧,,,True,6,959,Gold,+(38),,,,+(99),+3(275),+(129),-2,+(24),,,+2(294)
20,,北京大学,Lumina,朱羿恺,郭羽冲,沈吉滪,,,True,6,978,Gold,+1(49),,+1(252),,+1(102),+1(245),-2,-1,+(26),,,+(224)
,,西安交通大学,写都写了，交一发吧,,,,,,False,6,980,,+(33),,,,+(126),+2(279),+1(155),+1(235),+1(52),,,
,,杭州市第二中学,二进制联盟,,,,,,False,6,993,,+(43),,-1,,+3(215),,+(78),+2(284),+(31),,,+1(222)
21,15,香港中文大學,簽到失敗,黃進,謝昶豪,龍瑞希,,,True,6,1013,Gold,+(28),,,,+2(140),+(185),+4(162),-8,+4(50),,+1(228),-32
22,,清华大学,击中月亮,魏佳泽,程思元,戚朗瑞,,,True,6,1024,Gold,+(40),,-1,,+3(210),+4(295),+(92),-3,+(15),,+2(192),-12
23,,中国科学技术大学,Ben 神，启动,陈聆祎,樊澄宇,陈骆鑫,,,True,6,1030,Gold,+1(62),,,,+1(152),+4(271),+(113),+(292),+(20),,,
24,16,上海交通大学,夏日影,冯启豫,刘家宁,朱泽木,,,True,6,1037,Gold,+(15),,,,+7(221),+1(225),+1(69),+3(246),+(21),,-4,
25,17,西安交通大学,宇宙将为你闪烁,邓熙健,王禹皓,石皓文,,,True,6,1056,Gold,+(47),,,,+1(201),+2(296),+(207),+1(164),+(61),,,
26,18,香港中文大学（深圳）,通顶雪道,孙悠然,忙秋阳,郭青硕,,,True,6,1060,Gold,+1(46),,,,+6(213),+(188),+3(96),-7,+(26),,+1(271),
27,19,电子科技大学,UESTC_篝月明火,陈奕可,汪澄,彭帅康,,,True,6,1089,Gold,+(15),,,,+1(129),+1(296),+(110),+5(265),+3(74),,-1,
28,20,中南大学,有刺无刺,江天运,易光廷,周湘予,,,True,6,1116,Gold,+2(38),,,,+4(287),+2(206),+(102),+1(269),+(34),,,
29,,清华大学,Escape,任舍予,郭雨豪,郑玄晔,,,True,6,1128,Silver,+(23),,+1(167),,+5(239),-18,+1(193),,+1(40),,+3(246),
30,,清华大学,报名晚了,钟自厚,崔隽章,董亦骐,,,True,6,1149,Silver,+2(65),,,,+8(275),+(86),+2(34),-11,+(49),,,+10(200)
,,深圳北理莫斯科大学,铜牌已达两位数！,,,,,,False,6,1175,,+(75),,,,+4(186),+2(252),+1(176),+1(273),+(53),,,
31,,北京大学,呜呜呜嘤嘤嘤哇哇哇,葛子越,孟煜皓,罗思远,,,True,6,1199,Silver,+(47),,,,-1,+8(290),+1(106),+2(254),+(12),,,+(270)
32,,中山大学,中山大学_破晓之旅,赵肖睿,古鸣浩,刘志源,,,True,6,1254,Silver,+3(72),,,,+2(216),+2(293),+2(148),+3(229),+1(36),,,
,,上海市曹杨第二中学,慢慢变强,,,,,,False,6,1308,,+2(84),,,,+6(294),+3(284),+1(162),,+1(89),,,+(135)
33,21,杭州电子科技大学,杭电1队,马文浩,黄光升,何卓锟,,,True,6,1338,Silver,+(21),,,,+4(167),+1(268),+4(261),,+(31),,,+6(290)
,,广州大学附属中学,三折叠乌龟,,,,,,False,6,1343,,+1(48),,+5(291),,+3(124),,+2(195),,+(46),,,+6(299)
,,广州大学附属中学,少量太阳粉丝团,,,,,,False,5,503,,+(20),,,,+2(77),,+(114),-1,+(27),,,+2(185)
34,22,西南交通大学,我都行,毛锦阳,赵一冰,廖智成,,,True,5,562,Silver,+(47),,,,-10,+1(232),+(69),+1(135),+1(19),,,
,,南京外国语学校,喵喵喵家长群,,,,,,False,5,613,,+3(25),,+(250),,+(139),-5,+(86),-1,+1(33),,,-1
,,清华大学,进行一个象的抽,,,,,,False,5,624,,+(53),,,,+(139),-2,+(105),+1(282),+(25),,,
35,23,香港城市大学,初心,燕雅超,高义雄,郑上锟,,,True,5,641,Silver,+(39),,,,+1(137),+(295),+(132),-6,+(18),,,
36,24,武汉大学,秘封俱乐部,李佳隆,潘非,熊师飏,,,True,5,642,Silver,+1(49),,,,+3(156),,+(63),-8,+1(29),,,+1(225)
37,25,北京邮电大学,摩可彭塔斯,鲍睿钊,谭怡萱,区庆亮,,,True,5,655,Silver,+1(58),,,,+(99),,+(136),+2(271),+(31),,,
38,,南方科技大学,南方科技大学-南风点点,薛哲,林政宇,曾子华,,,True,5,671,Silver,+2(192),,,,+1(122),-4,+(63),-2,+1(28),,+(186),
39,,中山大学,中山大学_红温之旅,周睿韬,张宸睿,张益晟,,,True,5,703,Silver,+(32),,,,+5(275),+(189),+(88),,+(19),,-4,
40,,浙江大学,WF 在逃三人团,周转,李克成,朱睿哲,,,True,5,714,Silver,+(67),,,,+2(75),+(229),+1(246),-3,+(37),,,
41,26,南京大学,食堂难民走线和园卖花,杨宇轩,冯烨聪,陈思睿,,,True,5,715,Silver,+(64),,,,+1(142),+(264),+(197),-5,+(28),,,
,,杭州市第二中学,报名晚了名额没了,,,,,,False,5,726,,+(52),,,,-6,+4(227),+(107),-11,+(29),,-4,+2(191)
42,,华中科技大学,华中科技大学〇队,刘星佳,黄暄骜,刘铖,,,True,5,728,Silver,+(55),,,,+1(205),-6,+(136),+1(239),+(53),,-1,
43,,中国科学技术大学,前社长想公费旅游于是被两位巨佬带飞,阎昶澍,梁嘉文,孙志浩,,,True,5,729,Silver,+2(74),,-1,,+5(243),+1(136),+(92),,+(24),,,
,,成都市第七中学,那头粉丝团,,,,,,False,5,731,,+(53),,,,+1(140),+(242),+1(230),,+(26),,,
44,,哈尔滨工业大学,w4p3r black-fan club,邱思宇,谢书泱,杜沛键,,,True,5,731,Silver,+2(32),,,,+3(64),-6,+3(247),+(184),+1(24),,,
,,郑州外国语学校,的无上。立，时意破、当无世民事，然,,,,,,False,5,733,,+(31),,,,-7,+8(274),+(46),-3,+2(26),,,+3(96)
45,27,南京理工大学,你怎么知道鲍汁锅在22ec抽到了mate50pro,何平,彭锐政,陈静波,,,True,5,741,Silver,+1(65),,,,,+(257),+2(120),+(209),+(30),,,-1
46,,上海交通大学,影色舞,王越,胡豪达,戴之恒,,,True,5,760,Silver,+2(36),,,,+1(165),-3,+1(136),+1(284),+(39),,,-4
,,南京外国语学校,VOTE FOR RICK ASTLEY,,,,,,False,5,762,,+3(74),,,,+2(212),+2(124),+1(146),-2,+1(26),,,
,,北京市十一学校,可燃垃圾堆,,,,,,False,5,770,,+(30),,,,+4(234),+(232),+2(135),,+(19),,,-3
47,28,中国人民大学,森林冰火人,任秦江,林志诚,林梓楠,,,True,5,773,Silver,+(119),,,,+3(217),+(269),+(85),-1,+(23),,,
48,,电子科技大学,UESTC_雪色光晕,张昕诺,吕书武,李毅远,,,True,5,782,Silver,+1(65),,-1,,+(145),+(221),+1(263),,+1(28),,,
49,29,苏州大学,故障机器人,肖锦嗣,王宇轩,韩则进,,,True,5,804,Silver,+(46),,,,+3(190),-1,+3(173),+(254),+(21),,,
50,30,兰州大学,两个出生,张恩彬,李大源,水源,,,True,5,809,Silver,+1(59),,,,+7(217),+(189),+1(127),-1,+(37),,,-3
,,成都市第七中学,队仨,,,,,,False,5,813,,+1(30),,,,+5(191),+2(145),+2(219),-4,+(28),,,
51,,南京大学,手气王定的,张瑞珉,周宇曦,朱羽宽,,,True,5,816,Silver,+(30),,,,+3(157),+3(213),+3(199),,+1(17),,-4,
,,重庆市南开中学,撑伞,,,,,,False,5,819,,+(33),-1,-1,,+4(128),-4,+(155),-2,+1(88),,,+2(275)
,,重庆大学,队名不凸显一下我们网瘾老年人的身份马,,,,,,False,5,819,,+1(56),,-2,,+1(146),+5(281),+(102),,+2(54),,,-2
,,南京外国语学校,都可以,,,,,,False,5,837,,+3(79),,,,+3(147),+(257),+3(137),-1,+(37),,,
52,,浙江大学,幻想風靡,谭思成,张志心,柯怀俊,,,True,5,848,Silver,+2(64),,,,+4(166),+1(267),+(170),-15,+1(21),,-1,
53,,上海大学,献给XCPC的一年之诗,周子竣,潘铧超,房辰燏,,,True,5,866,Silver,+(51),,,,+3(250),+2(289),+(144),,+(32),,,
54,,杭州电子科技大学,杭电2队,徐墨凡,徐铭扬,余梓诚,,,True,5,867,Silver,+(49),,,,+7(171),,+2(224),-4,+(27),,+2(176),
,,成都外国语学校,并非波特,,,,,,False,5,870,,+1(44),,+(156),,+4(256),-2,+1(245),,+1(29),,,
,,南京外国语学校,ZJA,,,,,,False,5,953,,+3(112),,,,+5(233),+(261),+(158),,+(29),,,-1
55,,南方科技大学,南方科技大学-布尔诺,王振宇,王泰翔,江博成,,,True,5,959,Silver,+4(80),,,,+2(136),,+2(239),+3(231),+1(33),,,
56,,上海交通大学,电光火石的前奏,黄佳瑞,钱智煊,车昕宇,,,True,5,967,Silver,+1(79),,,,+3(241),-2,+(204),+1(298),+(45),,,
,,上海外国语大学附属外国语学校,朕的皇家翻译呢,,,,,,False,5,971,,+2(40),,,,+9(247),,+(290),,+(14),,,+2(120)
57,31,天津大学,锐刻没有电,范艳青,黄涛,邓锦源,,,True,5,972,Silver,+(45),,,,+3(170),,+7(292),,+(35),,,+1(210)
,,广东实验中学,省实信奥2队,,,,,,False,5,1007,,+2(43),,,,+7(194),+3(273),+2(164),,+(53),,,
58,32,中国科学院大学,果壳挂科王,蓝天朗,徐亦周,徐致远,,,True,5,1011,Silver,+(79),,,,+5(298),-1,+1(188),+2(247),+(39),,,
59,33,四川大学,难题逆转小队,李名骕,杨轶涵,黄云垄,,,True,5,1027,Silver,+2(54),,,,+5(261),+4(298),+3(117),,+(17),,,
60,34,西南大学,AutoC++,徐畅,蒋天逸,马博涵,,,True,5,1030,Silver,+2(71),,,,+7(291),+(176),+1(228),-4,+(64),,,
61,,北京航空航天大学,帅气队友退役快乐！诚招新的颜值担当,严禹韬,王泓翔,谭喆文,,,True,5,1031,Silver,+(30),,,,+3(230),,+8(270),-2,+(40),,,+2(201)
62,35,哈尔滨工业大学（深圳）,潜水小怪,梁彬,羊柯伍,孙宇开,,,True,5,1031,Silver,+1(68),,,,+4(177),+(295),+7(233),,+(18),,,
63,,北京理工大学,Penalty 这么高它的意思一定是分数吧,柯宁皓,黄康,张思哲,,,True,5,1039,Silver,+1(73),,,,+3(236),,+5(210),+1(274),+(46),,,
64,,杭州电子科技大学,杭电3队,周靖凯,傅景康,闻人雨泽,,,True,5,1045,Silver,+1(39),,,,+12(255),+4(289),+1(83),-8,+(19),,,
65,36,国防科技大学,蓝色空间号,杨泽,吴佳英,刘宇林,,,True,5,1048,Silver,+1(95),,,,+2(190),+3(258),+(205),-3,+2(140),,,
,,重庆市第一中学校,实力出粽,,,,,,False,5,1124,,+2(44),,,,+10(209),+7(236),+1(177),,+2(18),,,
,,北京建筑大学,铜墙铁壁,,,,,,False,5,1196,,+3(64),,,,+2(245),,+3(162),,+2(51),,,+9(294)
,,首都师范大学附属中学,ssf成达队,,,,,,False,4,383,,+(38),,-2,,-8,,+1(133),,+(26),,,+1(146)
,,成都市第七中学,Jowaire,,,,,,False,4,402,,+1(39),,-1,,+1(145),,+1(132),,+(26),,,
66,,上海交通大学,奇迹师歌队,谭钧豪,徐君翊,楼灏,,,True,4,438,Silver,+2(53),,,,+(131),,+2(157),-4,+(17),,,
67,,香港中文大學,少年的拼勁,姜宣丞,周禮言,黃梓謙,,,True,4,457,Silver,+(49),,,,+3(158),-1,+(142),-2,+1(28),,,-3
,,北京大学附属中学,三个人凑不出一个翻译,,,,,,False,4,460,,+2(38),,,,+2(218),-3,+(78),,+1(26),,,
68,,香港中文大學,自攻螺絲,黃文禮,张天瀚,,,,True,4,469,Silver,+1(39),,,,-10,+3(232),+(98),-1,+(20),,,
69,37,东北大学,东北大学_远陬浮萍,苏焜,仝家驹,任浩禹,,,True,4,478,Silver,+(55),,-1,,-5,+2(254),+1(83),,+(26),,,
70,38,华中师范大学,落月摇情满江树,曹俞欣,王彬宇,郭子寒,,,True,4,481,Silver,+(37),,,,+1(139),-3,+2(222),,+(23),,,
71,39,复旦大学,学海无涯，回头是岸,莫骐彰,阚子淳,崔博钧,,,True,4,490,Silver,+1(33),,,,+3(299),-6,+(53),-4,+(25),,,
72,40,福州大学,从今天起不当小丑,林东颖,傅安,江滢怡,,,True,4,491,Silver,+1(46),,,,+2(173),-5,+1(169),,+(23),,,
73,,中国人民大学,嘉然今天创什么（本科生期末版）,汪元森,刘嘉俊,钱泽瑄,,,True,4,495,Silver,+(121),,,,+2(241),,+(38),,+(55),,,
74,,南京大学,屋旁的青草,陈子达,陈昊洋,梁航宇,,,True,4,502,Silver,+1(65),,,,+3(238),-4,+(94),,+(25),,,
75,,中国科学技术大学,中科大少女班代表队,冯正桦,邵晓玮,李俊辰,,,True,4,506,Silver,+5(60),,,,-28,,+(71),-1,+(23),,+2(212),
76,41,华东师范大学,至此，一锤定音,许乐,冯嘉一,冯顾炜,,,True,4,508,Silver,+2(47),,,,+(269),-8,+(114),,+(38),,,
77,42,浙江理工大学,炉石新晋肺癌一哥......堂堂连载,王显龙,陶稼辉,张莉曼,,,True,4,517,Silver,+(13),,,,+4(243),-6,+(125),-1,+(56),,,
78,,北京理工大学,打饿了吃隔壁桌,彭田栩,陈鹏宇,牟星宇,,,True,4,524,Silver,+(44),,,,+3(206),-6,+3(127),,+(27),,,
79,,北京航空航天大学,shiNy cOlors,刘昊言,李墨之,杭洋,,,True,4,524,Silver,+2(49),,,,-8,,+(90),+2(270),+(35),,,
80,,中国人民大学,M. R. G. A.,晏艺桓,李雨城,陈礼邦,,,True,4,525,Silver,+(18),,,,-3,-4,+1(135),+2(252),+1(40),,,
81,43,西北工业大学,D.D.D,吴语,严诚治,武守恒,,,True,4,527,Silver,+1(49),,,,+2(198),-2,+1(176),,+(24),,,
,,宝鸡文德中学,乐园,,,,,,False,4,530,,+(32),,,,+7(196),,+(150),,+(12),,,-7
82,,华中师范大学,空天之梦,曾位俊,邱俊凯,,,,True,4,552,Silver,+(72),,,,+1(255),-2,+(159),,+(46),,,
,,广东实验中学,省实信奥3队,,,,,,False,4,553,,+1(49),,,,+3(295),-3,+(89),-1,+(40),,,
83,,华中科技大学,让我们_着走，送他们房子,汪文卓,金城根,杨治,,,True,4,555,Silver,+1(61),,,,+3(210),,+1(157),-4,+(27),,,
84,44,上海理工大学,蔡光（囯內）,张皓宇,董柯演,吴佳霖,,,True,4,556,Silver,+1(54),,,,+1(179),-4,+2(227),-1,+(16),,,
85,,中国科学院大学,Chirp-Z变换,朱奕杰,林海昊,聂泽锴,,,True,4,561,Bronze,+(91),,,,+1(274),,+1(126),-1,+(30),,,
86,,哈尔滨工业大学,我退役了，教练管不了了,朱峰,王羽婷,杨一凡,,,True,4,564,Bronze,+(40),,,,+3(149),-9,+2(251),,+(24),,,
87,,复旦大学,曼波大战哈姆,陈可汗,徐兆恺,罗意明,,,True,4,568,Bronze,+2(40),,,,-16,+2(276),+1(89),,+1(43),,,
88,45,哈尔滨工程大学,我推的七海爆吃0721次罚时因为在原神启动,宿斯玮,黄凯鹏,吴兆昕,,,True,4,571,Bronze,+(60),,,,+2(274),-1,+(173),,+(24),,,
89,46,河海大学,我的acm铁牌物语果然有问题,朱庆刚,付宏磊,林桁,,,True,4,573,Bronze,+(75),,,,+(276),,+1(178),,+(24),,,-2
90,47,浙大城市学院,扫雷爱好者,林嘉亮,沈墨昕,褚锦威,,,True,4,584,Bronze,+(44),,,,+5(200),,+2(173),,+(27),,,
91,48,郑州大学,都不玩原神,乔培元,赵圣元,梁志杰,,,True,4,586,Bronze,+2(74),,,,+1(188),-6,+3(176),,+(28),,,
92,,上海交通大学,只支持修改，不支持查询,李俊毅,于恩帝,杨崇烨,,,True,4,600,Bronze,+1(66),,,,+2(248),-9,-2,+1(181),+(25),,,
,,中山市中山纪念中学,纪中十队,,,,,,False,4,606,,+(32),,,,+1(165),-8,+2(263),,+(86),,,
93,49,西安电子科技大学,三分之二去零点,田康杰,夏秀锟,曾岩,,,True,4,610,Bronze,+2(98),,,,+2(224),,+(142),-16,+1(46),,,
94,50,杭州师范大学,春天的草莓和夏天的啤酒花,林丰,尤馨然,邵茹怡,,,True,4,617,Bronze,+(72),,,,+4(235),,+(189),,+(41),,,
95,,中山大学,中山大学_2333er,高祖伟,刘翔乐,高艺桐,,,True,4,639,Bronze,+1(42),,,,+2(166),,-3,+3(286),+(25),,,
96,51,南京邮电大学,内鬼猫猫头,文超航,冯一帆,张禹健,,,True,4,646,Bronze,+(88),,,,+4(202),,+(223),-4,+1(33),,,
97,,福州大学,孤高曼波,陈宇,陈建涛,黄旭,,,True,4,648,Bronze,+(74),,,,+4(298),,+(132),,+1(44),,,
98,52,大连理工大学,这么六！,毛祥宇,刘泽轩,钟剑辉,,,True,4,650,Bronze,+(81),,,,+3(257),,+(218),,+(34),,,
99,53,长沙理工大学,代码不能从这一侧AC,彭烨青,詹一夫,徐彬峰,,,True,4,651,Bronze,+1(60),,,,+1(246),,+2(227),-1,+(38),,,
100,54,山东大学,SDU-TCS,袁胜利,王天竹,禚安垣,,,True,4,652,Bronze,+1(69),,,,-16,+(247),+(281),,+(35),,,
101,55,华南理工大学,打xcpc不喊我,徐睿,吕浩天,梁立州,,,True,4,656,Bronze,+1(51),,,,+4(233),-2,+(250),,+(22),,,
102,56,华南师范大学,A了这题就吃麦旋风,古嘉诚,袁浩轩,黄家谦,,,True,4,656,Bronze,+2(114),,,,+2(260),,+(168),,+(34),,,
103,57,重庆理工大学,乱,于张本,许润峰,张洋,,,True,4,659,Bronze,+3(91),,,,,+2(289),+1(138),,+(21),,,
,,中山市中山纪念中学,纪中六队,,,,,,False,4,663,,+(29),,,,+5(255),+(241),-4,,+(38),,,
104,,华东师范大学,假飞了！,冯中信,陈赵润,姜朝顺,,,True,4,672,Bronze,+1(56),,,-1,+4(175),,+2(253),,+(48),,,
105,58,东南大学,不休独舞,戚雨林,张皓,王希陶,,,True,4,673,Bronze,+1(70),,,,+3(219),-2,+(190),,+2(74),,,
106,,南京大学,优质解答:我不知道,陈弘毅,郑欣,林荣恩,,,True,4,679,Bronze,+1(47),,,,+4(179),,+4(244),,+(29),,,
107,59,东华大学,不可视境界线,黄城帆,杨韵清,金浩帆,,,True,4,680,Bronze,+1(96),-1,,,+2(286),,+3(143),,+(35),,,
108,60,湖南大学,123456,朱名扬,吕乐,张世东,,,True,4,680,Bronze,+(58),,,,,-4,+6(292),,+(32),,+1(158),
109,61,香港大学,热门流行音乐联盟,吴语晨,李其轩,徐启越,,,True,4,684,Bronze,+(64),,,,+5(247),-9,+1(163),-1,+(90),,,
110,,西北工业大学,wanna be free,尹新祥,龚熙尧,程文楷,,,True,4,684,Bronze,+(42),,,,+2(277),,,-2,+(29),,,+2(256)
,,福建省福州第三中学,拼尽全力无法过题,,,,,,False,4,686,,+4(160),-1,-1,-1,+2(141),-5,+(181),-1,+2(44),,,
111,,电子科技大学,UESTC_在理工学校想邂逅文学学姐搞错了什么,冉泽宇,梁育诚,陈治臻,,,True,4,690,Bronze,+3(101),,,,+3(230),-20,+(176),,+1(43),,,
112,,东北大学,东北大学_18块银牌能不能换一块金牌,王子晗,濮金骁,祝云飞,,,True,4,697,Bronze,+3(47),,,,+2(245),-1,+2(237),,+(28),,,
,,中山市中山纪念中学,纪中八队,,,,,,False,4,698,,+(67),,-1,,+5(214),-1,+(258),-1,+1(39),,-1,-1
113,,电子科技大学,UESTC_诶多诶多呐呐呐,雷霖,包航,覃子睿,,,True,4,700,Bronze,+(60),,,,+2(181),,+6(242),,+(57),,,
,,中山市中山纪念中学·,纪中二队,,,,,,False,4,702,,+(27),,,,+6(203),-2,+2(261),,+(51),,,
114,62,东北大学秦皇岛分校,名字取好了吗,冯阳阳,刘峻畅,肖轲闻,,,True,4,709,Bronze,+1(61),,,,+2(208),-9,+3(273),,+1(27),,,
115,63,同济大学,于离别之朝束起约定之花,靳嘉成,刘诗奇,吴晶承,,,True,4,714,Bronze,+3(122),,,,,,+2(226),-6,+(38),,,+1(208)
116,,南京邮电大学,这不是梦！,胡乐安,崔晨曦,展翼,,,True,4,719,Bronze,+3(62),,,,+4(243),,+(221),,+(53),,,-1
117,64,湖南师范大学,栀晓,唐熙林,魏佳蕾,杨泽旭,,,True,4,731,Bronze,+(46),,,,+7(182),-4,+2(289),,+(34),,,
118,65,杭州电子科技大学信息工程学院,无尽的风之轨迹,尹凯乐,周越,杨鑫,,,True,4,737,Bronze,+(78),,,,-2,+5(292),+1(187),,+(60),,,
119,,华东师范大学,sha1+6deZ blackF4n-Club,汪鼎尊,程籽实,谢书骁,,,True,4,740,Bronze,+(48),,,,+5(282),,-14,+(262),+(48),,,
120,66,浙江工业大学,不用见外,陆仙梁,冯梓航,包林鑫,,,True,4,745,Bronze,+2(83),,,,+4(242),-5,+(272),,+(28),,,
121,67,南京信息工程大学,叱咤月海鱼鱼猫,潘小康,马天顺,徐凡明,,,True,4,748,Bronze,+(64),,,,+5(263),,+1(277),,+(24),,,
122,,哈尔滨工业大学（深圳）,猫猫不会数数,曹鹏宇,曹锦程,高子烽,,,True,4,751,Bronze,+1(48),,,,+5(280),,+1(250),,+(33),,,
,,长沙市雅礼中学,死亡纽约，你只能,,,,,,False,4,766,,+3(67),,,,+4(152),-1,-5,,+(55),,,+6(232)
,,上海外国语大学附属外国语学校,AC到底来没来,,,,,,False,4,776,,+4(155),,,,+2(242),-2,+2(199),,+(20),,,
,,北京航空航天大学,藏响,,,,,,False,4,782,,+2(43),,,,+6(215),-4,+7(186),,+1(18),,,
123,,东北大学,东北大学_爆金币,王涵聪,王啸烽,陈增杰,,,True,4,790,Bronze,+(54),,,,+9(234),,+1(279),-2,+(23),,,
124,,南京理工大学,混沌蝴蝶,吴俐伽,王一萌,丁则文,,,True,4,799,Bronze,+2(100),,,,+3(292),,+(219),,+(88),,,
125,68,北京师范大学,苹果狗,陈志锐,徐若翔,季涛,,,True,4,810,Bronze,+(43),,,,+10(215),-3,+1(250),,+1(62),,,
126,,东北大学秦皇岛分校,鸡鸣湖畔,张裕博,司伟业,张昱东,,,True,4,812,Bronze,+1(57),-1,,,+12(258),,+1(191),,+(26),,,
127,,东北大学秦皇岛分校,最澄澈的空与海,唐德斌,邓逸飞,王若翔,,,True,4,813,Bronze,+2(125),-1,-1,-1,-1,+2(237),+3(282),-1,+(29),-1,-1,-1
128,69,香港科技大学,Firebird Chan Lay Harder,吕嘉杰,杨善行,杨善进,,,True,4,820,Bronze,+1(108),,,,+2(241),,+1(292),,+2(59),,,
129,70,西北农林科技大学,不会起名,蔡祺峰,韩邦远,范中博,,,True,4,821,Bronze,+5(85),,,,+5(282),,+(159),,+(95),,,
130,71,郑州轻工业大学,冰马桶,刘家贤,吴宇扬,姬孟龙,,,True,4,824,Bronze,+1(68),,,,+5(223),,+4(299),,+(34),,,
131,72,西湖大学,轰炸机数学学院,贾岚晴,俞开,汪阳,,,True,4,826,Bronze,+1(63),,,,+2(287),,+2(278),,+(98),,,
,,东南大学,西西弗斯,,,,,,False,4,833,,+1(124),,,,+8(259),-2,+(193),-1,+(77),,,
132,73,武汉科技大学,RELX悦刻幻影PRO,万家梁,朱俊杰,孙煜恒,,,True,4,847,Bronze,+1(176),,,,+5(182),,+2(270),,+(59),,,
133,,北京理工大学,内核恐慌,陈驭祺,张书豪,徐宇飞,,,True,4,852,Bronze,+2(107),,,,+6(291),-6,+1(244),,+(30),,,
